Z,D,Y,M,Q
1,0,1,0,666.0
1,1,1,0,4.0
1,0,0,0,23.0
1,1,1,1,74.0
1,1,1,1,8.0
1,0,1,0,35.0
1,1,1,0,310.0
1,0,0,1,
1,0,1,1,485.0
1,0,1,0,475.0
1,0,0,0,504.0
1,0,0,1,57.0
1,1,1,1,37.0
1,1,1,1,
1,0,1,0,
1,0,1,0,19.0
1,0,0,1,
1,1,1,1,38.0
1,0,1,1,4.0
1,1,1,0,84.0
1,0,1,1,18.0
1,0,1,0,2.0
1,0,1,1,2.0
1,0,1,0,21.0
1,0,1,0,42.0
1,0,1,1,84.0
1,1,0,0,52.0
1,0,0,1,
1,1,1,0,1.0
1,0,1,0,
1,1,0,0,46.0
1,1,1,1,14.0
1,0,1,1,26.0
1,0,0,0,291.0
1,0,1,1,
1,1,0,0,290.0
1,0,1,0,116.0
0,0,1,1,
1,0,1,0,83.0
1,0,1,0,6.0
1,0,0,1,
1,1,0,1,8.0
1,1,0,0,
1,0,1,0,87.0
1,0,0,0,
1,1,1,0,
1,1,1,0,
1,0,0,1,
1,0,0,1,8.0
1,1,0,0,
1,0,0,1,17.0
1,1,0,0,
1,1,1,1,8.0
1,1,1,1,33.0
1,0,0,0,247.0
1,1,0,1,
1,0,1,0,
1,0,0,0,128.0
1,0,0,0,38.0
1,0,1,0,
1,1,0,0,25.0
1,0,0,0,225.0
1,0,1,0,
1,1,1,0,123.0
1,0,1,0,8.0
1,1,0,0,2.0
1,0,1,0,26.0
1,1,1,0,42.0
1,0,1,0,13.0
1,1,1,0,11.0
1,0,0,1,16.0
1,1,0,0,9.0
1,1,0,0,5.0
1,0,1,0,22.0
1,0,1,1,8.0
1,0,0,1,19.0
1,0,0,0,157.0
1,1,0,0,41.0
1,0,0,0,
1,1,0,0,21.0
1,0,1,0,4.0
1,1,1,0,57.0
1,0,1,1,24.0
1,1,1,1,3.0
1,1,1,1,39.0
1,0,1,0,8.0
1,0,1,1,
1,1,0,1,
1,0,1,0,86.0
1,0,0,1,
1,0,0,1,15.0
1,1,1,0,29.0
1,0,1,0,104.0
1,0,0,1,99.0
0,0,0,0,5.0
1,0,0,0,27.0
1,0,0,1,
1,0,1,0,54.0
1,0,1,1,
1,1,1,0,28.0
1,0,1,0,
1,0,1,1,425.0
0,1,1,0,14.0
1,0,1,1,
1,1,0,0,4.0
1,0,1,0,6.0
1,1,1,0,7.0
1,0,1,1,11.0
1,1,1,0,269.0
1,1,1,0,
1,0,1,0,102.0
1,0,1,1,3.0
1,1,1,1,20.0
1,0,0,0,48.0
1,0,1,0,11.0
0,0,0,0,
1,0,1,0,
1,1,0,0,2.0
1,1,1,0,1.0
1,1,1,1,14.0
1,0,1,1,13.0
1,1,1,0,62.0
1,1,1,0,20.0
1,0,0,0,34.0
0,0,1,0,404.0
1,0,1,1,14.0
1,1,1,0,128.0
1,1,0,0,6.0
1,0,0,1,
1,0,0,0,127.0
1,0,1,1,
1,0,0,0,
1,0,0,0,
1,1,1,0,20.0
1,0,1,0,17.0
1,0,1,1,2.0
1,1,1,0,57.0
1,1,1,0,19.0
1,0,1,0,
1,0,1,0,22.0
1,1,1,1,14.0
1,0,1,0,13.0
0,0,1,0,23.0
1,1,0,1,5.0
1,1,1,0,93.0
1,0,1,0,
1,0,0,0,
1,0,1,1,
1,1,1,1,54.0
1,0,1,0,
1,0,1,1,15.0
0,0,1,0,
1,0,0,0,
1,1,1,0,38.0
1,0,1,1,2.0
1,0,1,1,
1,0,1,0,
1,0,1,1,20.0
1,0,0,0,346.0
1,1,0,0,16.0
1,0,1,0,16.0
1,0,1,0,72.0
1,0,0,0,56.0
1,1,1,0,17.0
1,0,1,0,30.0
1,0,1,0,
1,0,1,1,74.0
1,0,1,0,34.0
1,0,1,0,311.0
1,0,1,0,
1,0,1,0,
1,0,0,0,9.0
1,0,0,0,18.0
0,0,1,0,21.0
1,0,0,1,42.0
1,0,1,0,
1,0,0,1,382.0
1,0,1,1,35.0
1,0,1,0,
1,0,1,0,
1,1,0,0,15.0
1,0,1,0,60.0
1,0,1,1,28.0
1,0,1,0,
1,0,1,0,14.0
1,1,0,0,38.0
1,0,0,0,
1,1,1,0,
1,0,1,0,
1,0,1,0,
1,0,1,0,
1,0,0,1,58.0
1,0,1,1,8.0
1,1,1,0,
1,0,1,1,81.0
1,0,1,1,67.0
1,1,0,0,270.0
1,0,1,0,15.0
1,1,1,0,31.0
1,0,1,0,42.0
1,0,1,0,15.0
1,0,1,1,217.0
1,0,1,1,8.0
1,0,1,0,
1,0,1,0,4.0
1,0,0,1,575.0
1,0,1,1,
1,1,0,0,36.0
1,0,0,1,10.0
1,0,1,0,
1,0,1,0,
1,0,1,0,41.0
1,0,1,0,168.0
1,0,1,0,21.0
1,0,1,0,401.0
1,0,1,1,136.0
1,0,1,0,66.0
1,1,1,0,
1,0,0,1,
1,1,0,0,15.0
1,0,0,0,
1,0,1,0,
1,0,0,0,11.0
